id,id_teste,seq,resposta,pontuacao,musica,personalidade
214249463,1,901680501,9018560,3,musica_1.flac,pouco-introvertido
214249463,2,955910987,9559709,6,musica_1.flac,pouco-introvertido
214249463,3,975814302,975264,4,musica_1.flac,pouco-introvertido
214249463,4,745092904,7450124,5,musica_1.flac,pouco-introvertido
214249463,5,005189030,00584022,3,musica_1.flac,pouco-introvertido
214249463,6,853750302,8564715,2,musica_1.flac,pouco-introvertido
214249463,7,801744304,7440592,0,musica_1.flac,pouco-introvertido
214249463,8,219192307,21905874,3,musica_1.flac,pouco-introvertido
39634724,1,519398787,51899139,3,musica_4.flac,introvertido
39634724,2,589125145,5891317,4,musica_4.flac,introvertido
39634724,3,353980613,53683213,0,musica_4.flac,introvertido
39634724,4,603824624,60324028,3,musica_4.flac,introvertido
39634724,5,506544413,506544601,6,musica_4.flac,introvertido
39634724,6,910935239,910935148,6,musica_4.flac,introvertido
39634724,7,464898970,498878504,3,musica_4.flac,introvertido
39634724,8,415659840,458684508,2,musica_4.flac,introvertido
483741990,1,402085697,402085606,7,musica_3.flac,pouco-extrovertido
483741990,2,104130574,104130043,6,musica_3.flac,pouco-extrovertido
483741990,3,667468000,667468001,8,musica_3.flac,pouco-extrovertido
483741990,4,534798485,634784015,4,musica_3.flac,pouco-extrovertido
483741990,5,995614880,995614880,9,musica_3.flac,pouco-extrovertido
483741990,6,981748621,981748230,6,musica_3.flac,pouco-extrovertido
483741990,7,731459901,431759081,5,musica_3.flac,pouco-extrovertido
483741990,8,487327955,427327855,7,musica_3.flac,pouco-extrovertido
287559828,1,443048735,442048376,5,musica_1.flac,pouco-extrovertido
287559828,2,923072060,92307302,6,musica_1.flac,pouco-extrovertido
287559828,3,050151550,050151550,9,musica_1.flac,pouco-extrovertido
287559828,4,098764891,7980749,3,musica_1.flac,pouco-extrovertido
287559828,5,430298546,230498563,5,musica_1.flac,pouco-extrovertido
287559828,6,290463941,490367042,4,musica_1.flac,pouco-extrovertido
287559828,7,903088519,993088591,6,musica_1.flac,pouco-extrovertido
287559828,8,030285589,030285583,8,musica_1.flac,pouco-extrovertido
670182474,1,989706520,980786928,5,musica_4.flac,introvertido
670182474,2,598409961,598409581,7,musica_4.flac,introvertido
670182474,3,878735622,878735622,9,musica_4.flac,introvertido
670182474,4,514551250,514551250,9,musica_4.flac,introvertido
670182474,5,061352139,061351139,8,musica_4.flac,introvertido
670182474,6,462460894,462460894,9,musica_4.flac,introvertido
670182474,7,441343911,431342914,6,musica_4.flac,introvertido
670182474,8,523918862,513928862,7,musica_4.flac,introvertido
952276490,1,595839097,59583903,7,musica_1.flac,pouco-introvertido
952276490,2,804349598,80434950,7,musica_1.flac,pouco-introvertido
952276490,3,759846607,45987570,4,musica_1.flac,pouco-introvertido
952276490,4,503256272,503258505,5,musica_1.flac,pouco-introvertido
952276490,5,481135932,48113291,6,musica_1.flac,pouco-introvertido
952276490,6,936988557,935988552,7,musica_1.flac,pouco-introvertido
952276490,7,023071094,02307109,8,musica_1.flac,pouco-introvertido
952276490,8,848768936,84879368,4,musica_1.flac,pouco-introvertido
725280374,1,048898196,004898169,5,controle,pouco-introvertido
725280374,2,406976624,406970662,6,controle,pouco-introvertido
725280374,3,575921031,575940316,4,controle,pouco-introvertido
725280374,4,915636954,91563694,7,controle,pouco-introvertido
725280374,5,657064294,647064290,7,controle,pouco-introvertido
725280374,6,929574719,920974710,6,controle,pouco-introvertido
725280374,7,824377270,824377270,9,controle,pouco-introvertido
725280374,8,176623101,870623101,7,controle,pouco-introvertido
399048664,1,801911239,801911327,6,musica_2.flac,pouco-introvertido
399048664,2,704283933,284933083,3,musica_2.flac,pouco-introvertido
399048664,3,500620078,500620078,9,musica_2.flac,pouco-introvertido
399048664,4,578429905,628479021,3,musica_2.flac,pouco-introvertido
399048664,5,016787692,01678442,5,musica_2.flac,pouco-introvertido
399048664,6,801567848,801,3,musica_2.flac,pouco-introvertido
399048664,7,163495707,163785907,6,musica_2.flac,pouco-introvertido
399048664,8,256405106,256020670,3,musica_2.flac,pouco-introvertido
967493946,1,018532021,018532021,9,controle,introvertido
967493946,2,306300116,306300113,8,controle,introvertido
967493946,3,239769297,369356297,4,controle,introvertido
967493946,4,216974492,474562492,3,controle,introvertido
967493946,5,149792661,149792661,9,controle,introvertido
967493946,6,524450510,454490510,6,controle,introvertido
967493946,7,498930085,498415085,6,controle,introvertido
967493946,8,876237702,987601702,3,controle,introvertido
286832714,1,310966025,31096680,6,musica_3.flac,pouco-introvertido
286832714,2,377269725,366725340,1,musica_3.flac,pouco-introvertido
286832714,3,562545346,542526346,6,musica_3.flac,pouco-introvertido
286832714,4,147604986,14760671,5,musica_3.flac,pouco-introvertido
286832714,5,233723815,233273487,4,musica_3.flac,pouco-introvertido
286832714,6,151474233,151272541,4,musica_3.flac,pouco-introvertido
286832714,7,064515719,064517941,5,musica_3.flac,pouco-introvertido
286832714,8,779510400,779541300,6,musica_3.flac,pouco-introvertido
698843033,1,492042629,4920857,4,controle,pouco-introvertido
698843033,2,454701782,57010589,1,controle,pouco-introvertido
698843033,3,686709327,686709612,6,controle,pouco-introvertido
698843033,4,904502418,904502837,6,controle,pouco-introvertido
698843033,5,107160853,107430180,4,controle,pouco-introvertido
698843033,6,154094360,154094359,7,controle,pouco-introvertido
698843033,7,622389291,6223295440,5,controle,pouco-introvertido
698843033,8,006480690,006480134,6,controle,pouco-introvertido
210919666,1,541782329,571832239,4,musica_2.flac,pouco-introvertido
210919666,2,395999995,395999995,9,musica_2.flac,pouco-introvertido
210919666,3,321951470,321451971,6,musica_2.flac,pouco-introvertido
210919666,4,778124416,471756239,1,musica_2.flac,pouco-introvertido
210919666,5,117432958,137567952,4,musica_2.flac,pouco-introvertido
210919666,6,798966091,798912,4,musica_2.flac,pouco-introvertido
210919666,7,987375946,987357,4,musica_2.flac,pouco-introvertido
210919666,8,122181675,122181875,8,musica_2.flac,pouco-introvertido
790378859,1,157144108,177144108,8,musica_2.flac,pouco-introvertido
790378859,2,447217606,447217661,7,musica_2.flac,pouco-introvertido
790378859,3,027305909,027305909,9,musica_2.flac,pouco-introvertido
790378859,4,954694806,954694806,9,musica_2.flac,pouco-introvertido
790378859,5,378683392,378682906,5,musica_2.flac,pouco-introvertido
790378859,6,876844121,876844121,9,musica_2.flac,pouco-introvertido
790378859,7,409227004,409227004,9,musica_2.flac,pouco-introvertido
790378859,8,792949339,792994339,7,musica_2.flac,pouco-introvertido
535137884,1,929023016,9290184,4,musica_3.flac,introvertido
535137884,2,339367014,33962,3,musica_3.flac,introvertido
535137884,3,962258995,962256,5,musica_3.flac,introvertido
535137884,4,354603674,35460,5,musica_3.flac,introvertido
535137884,5,398256260,398252,5,musica_3.flac,introvertido
535137884,6,299653764,3926552,3,musica_3.flac,introvertido
535137884,7,150009846,1500092,6,musica_3.flac,introvertido
535137884,8,200236974,2002625,4,musica_3.flac,introvertido
313884205,1,682690195,682690150,7,musica_4.flac,pouco-introvertido
313884205,2,582498483,582498345,6,musica_4.flac,pouco-introvertido
313884205,3,570412104,570412054,7,musica_4.flac,pouco-introvertido
313884205,4,658437523,658437612,6,musica_4.flac,pouco-introvertido
313884205,5,580460873,580476580,4,musica_4.flac,pouco-introvertido
313884205,6,069428850,069428800,8,musica_4.flac,pouco-introvertido
313884205,7,248796238,248796738,8,musica_4.flac,pouco-introvertido
313884205,8,270298768,270208608,6,musica_4.flac,pouco-introvertido
